fn,total ops,total mult,dram total,dram limb rd,dram limb wr,dram key rd,"total cycles (slow, worst case)","total cycles (slow, best case)",funits,logq,dnum,cache_size,ewe_energy,dram_energy,sram_area,ewe_area,total_energy,total_area
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1880586173.6,1880586173.6,10,48,6,7077888,1.4131085139467343,44.128373047296,194462,145152,45.54148156124273,339614
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1709632687.6363635,1709632687.6363635,11,48,6,7077888,1.4131085139467343,44.128373047296,194462,159668,45.54148156124273,354130
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1567171449.3333333,1567171449.3333333,12,48,6,7077888,1.4131085139467343,44.128373047296,194462,174183,45.54148156124273,368645
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1446627324.6153846,1446627324.6153846,13,48,6,7077888,1.4131085139467343,44.128373047296,194462,188698,45.54148156124273,383160
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1343303789.142857,1343303789.142857,14,48,6,7077888,1.4131085139467343,44.128373047296,194462,203213,45.54148156124273,397675
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1253756725.0666666,1253756725.0666666,15,48,6,7077888,1.4131085139467343,44.128373047296,194462,217728,45.54148156124273,412190
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,964076845.6,964076845.6,10,49,2,16859136,0.7445754675945838,17.770980835328,498857,145152,18.515556302922583,644009
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,876438233.8181818,876438233.8181818,11,49,2,16859136,0.7445754675945838,17.770980835328,498857,159668,18.515556302922583,658525
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,803406057.3333333,803406057.3333333,12,49,2,16859136,0.7445754675945838,17.770980835328,498857,174183,18.515556302922583,673040
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,741609600.3076923,741609600.3076923,13,49,2,16859136,0.7445754675945838,17.770980835328,498857,188698,18.515556302922583,687555
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,688641208.5714285,688641208.5714285,14,49,2,16859136,0.7445754675945838,17.770980835328,498857,203213,18.515556302922583,702070
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,642735269.0666666,642735269.0666666,15,49,2,16859136,0.7445754675945838,17.770980835328,498857,217728,18.515556302922583,716585
bootstrap,99495313408,44837502976,48302227456.0,18805964800.0,9628975104.0,19867287552.0,1210772331.2,1210772331.2,10,49,3,12845056,0.9267499768059042,24.730740457472,380062,145152,25.657490434277904,525214
bootstrap,99495313408,44837502976,48302227456.0,18805964800.0,9628975104.0,19867287552.0,1100707896.0,1100707896.0,11,49,3,12845056,0.9267499768059042,24.730740457472,380062,159668,25.657490434277904,539730
bootstrap,99495313408,44837502976,48302227456.0,18805964800.0,9628975104.0,19867287552.0,1008987533.3333334,1008987533.3333334,12,49,3,12845056,0.9267499768059042,24.730740457472,380062,174183,25.657490434277904,554245
